Local time,Open,High,Low,Close,Volume
01.05.2009 00:00:00.000 GMT-0700,1.32910,1.33070,1.32910,1.32925,2011.5
01.05.2009 00:05:00.000 GMT-0700,1.32925,1.32945,1.32845,1.32880,1130.8000000000002
01.05.2009 00:10:00.000 GMT-0700,1.32880,1.32885,1.32840,1.32870,1635.8000000000002
01.05.2009 00:15:00.000 GMT-0700,1.32870,1.32925,1.32865,1.32925,1143.6
01.05.2009 00:20:00.000 GMT-0700,1.32920,1.32945,1.32900,1.32910,1858.3
01.05.2009 00:25:00.000 GMT-0700,1.32910,1.32910,1.32775,1.32810,1814.6
01.05.2009 00:30:00.000 GMT-0700,1.32810,1.32865,1.32810,1.32825,908.3
01.05.2009 00:35:00.000 GMT-0700,1.32825,1.32880,1.32820,1.32870,1165.6
01.05.2009 00:40:00.000 GMT-0700,1.32865,1.32865,1.32835,1.32840,538.4000000000001
01.05.2009 00:45:00.000 GMT-0700,1.32835,1.32840,1.32685,1.32705,1410.1
01.05.2009 00:50:00.000 GMT-0700,1.32710,1.32765,1.32670,1.32750,2353.5
01.05.2009 00:55:00.000 GMT-0700,1.32760,1.32870,1.32755,1.32825,1482.6399999999999
01.05.2009 01:00:00.000 GMT-0700,1.32825,1.32840,1.32730,1.32735,3841.6
01.05.2009 01:05:00.000 GMT-0700,1.32735,1.32735,1.32580,1.32660,1853.8
01.05.2009 01:10:00.000 GMT-0700,1.32660,1.32665,1.32545,1.32565,1310.9
01.05.2009 01:15:00.000 GMT-0700,1.32555,1.32625,1.32515,1.32520,2027.5
01.05.2009 01:20:00.000 GMT-0700,1.32520,1.32520,1.32385,1.32455,3585.2
01.05.2009 01:25:00.000 GMT-0700,1.32455,1.32530,1.32425,1.32425,1958.9
01.05.2009 01:30:00.000 GMT-0700,1.32425,1.32490,1.32325,1.32480,2394.6000000000004
01.05.2009 01:35:00.000 GMT-0700,1.32480,1.32480,1.32270,1.32280,2275.5
01.05.2009 01:40:00.000 GMT-0700,1.32280,1.32460,1.32280,1.32435,3323.7
01.05.2009 01:45:00.000 GMT-0700,1.32440,1.32495,1.32400,1.32485,1802.2
01.05.2009 01:50:00.000 GMT-0700,1.32485,1.32580,1.32440,1.32545,1729.1000000000001
01.05.2009 01:55:00.000 GMT-0700,1.32540,1.32630,1.32500,1.32615,1071.6000000000001
01.05.2009 02:00:00.000 GMT-0700,1.32615,1.32665,1.32615,1.32645,1378.3
01.05.2009 02:05:00.000 GMT-0700,1.32645,1.32695,1.32635,1.32685,926.4
01.05.2009 02:10:00.000 GMT-0700,1.32685,1.32710,1.32635,1.32645,562.4
01.05.2009 02:15:00.000 GMT-0700,1.32645,1.32645,1.32555,1.32560,656.0000000000001
01.05.2009 02:20:00.000 GMT-0700,1.32560,1.32575,1.32530,1.32565,699.0999999999999
01.05.2009 02:25:00.000 GMT-0700,1.32570,1.32570,1.32540,1.32545,699.1
01.05.2009 02:30:00.000 GMT-0700,1.32545,1.32605,1.32545,1.32595,987.2
01.05.2009 02:35:00.000 GMT-0700,1.32600,1.32720,1.32600,1.32674,1550.6
01.05.2009 02:40:00.000 GMT-0700,1.32670,1.32690,1.32600,1.32610,1088.3
01.05.2009 02:45:00.000 GMT-0700,1.32615,1.32645,1.32585,1.32590,1082.2
01.05.2009 02:50:00.000 GMT-0700,1.32590,1.32610,1.32425,1.32450,1483.1
01.05.2009 02:55:00.000 GMT-0700,1.32450,1.32580,1.32420,1.32520,1608.1
01.05.2009 03:00:00.000 GMT-0700,1.32515,1.32695,1.32490,1.32640,1697.5
01.05.2009 03:05:00.000 GMT-0700,1.32640,1.32730,1.32630,1.32705,2086.1000000000004
01.05.2009 03:10:00.000 GMT-0700,1.32705,1.32790,1.32695,1.32745,1175.6
01.05.2009 03:15:00.000 GMT-0700,1.32745,1.32820,1.32745,1.32820,1697.9
01.05.2009 03:20:00.000 GMT-0700,1.32820,1.32985,1.32810,1.32930,2552.1000000000004
01.05.2009 03:25:00.000 GMT-0700,1.32930,1.32930,1.32875,1.32875,1378.4
01.05.2009 03:30:00.000 GMT-0700,1.32880,1.33065,1.32880,1.33060,2773.7
01.05.2009 03:35:00.000 GMT-0700,1.33055,1.33100,1.32980,1.33035,2538.9
01.05.2009 03:40:00.000 GMT-0700,1.33045,1.33140,1.33040,1.33130,3346.0000000000005
01.05.2009 03:45:00.000 GMT-0700,1.33130,1.33225,1.33130,1.33210,2889.7
01.05.2009 03:50:00.000 GMT-0700,1.33210,1.33260,1.33195,1.33250,2383.7
01.05.2009 03:55:00.000 GMT-0700,1.33255,1.33275,1.33130,1.33135,2619.2
01.05.2009 04:00:00.000 GMT-0700,1.33130,1.33130,1.32820,1.32860,3362.5
01.05.2009 04:05:00.000 GMT-0700,1.32860,1.32870,1.32720,1.32800,1876.2000000000003
01.05.2009 04:10:00.000 GMT-0700,1.32795,1.32840,1.32760,1.32770,2300.7
01.05.2009 04:15:00.000 GMT-0700,1.32770,1.32795,1.32735,1.32790,2098.8
01.05.2009 04:20:00.000 GMT-0700,1.32790,1.32885,1.32790,1.32865,1618.5
01.05.2009 04:25:00.000 GMT-0700,1.32860,1.32915,1.32850,1.32900,969.8
01.05.2009 04:30:00.000 GMT-0700,1.32900,1.32925,1.32865,1.32905,727.4
01.05.2009 04:35:00.000 GMT-0700,1.32905,1.32920,1.32860,1.32860,960.9000000000001
01.05.2009 04:40:00.000 GMT-0700,1.32865,1.32965,1.32860,1.32940,1631.8999999999999
01.05.2009 04:45:00.000 GMT-0700,1.32940,1.33020,1.32920,1.32970,1969
01.05.2009 04:50:00.000 GMT-0700,1.32965,1.32965,1.32850,1.32860,2024.4
01.05.2009 04:55:00.000 GMT-0700,1.32870,1.32880,1.32830,1.32860,878.0999999999999
01.05.2009 05:00:00.000 GMT-0700,1.32840,1.32860,1.32790,1.32810,1521.3000000000002
01.05.2009 05:05:00.000 GMT-0700,1.32815,1.32820,1.32755,1.32800,1562.1000000000004
01.05.2009 05:10:00.000 GMT-0700,1.32805,1.32995,1.32800,1.32940,1393.8000000000002
01.05.2009 05:15:00.000 GMT-0700,1.32950,1.32980,1.32880,1.32885,1712
01.05.2009 05:20:00.000 GMT-0700,1.32880,1.32945,1.32870,1.32935,1869.4
01.05.2009 05:25:00.000 GMT-0700,1.32940,1.32945,1.32805,1.32805,1839.2
01.05.2009 05:30:00.000 GMT-0700,1.32815,1.32860,1.32770,1.32790,1871.1
01.05.2009 05:35:00.000 GMT-0700,1.32790,1.32840,1.32660,1.32675,2263.8
01.05.2009 05:40:00.000 GMT-0700,1.32680,1.32700,1.32580,1.32635,2618.9
01.05.2009 05:45:00.000 GMT-0700,1.32635,1.32640,1.32490,1.32585,2525.4
01.05.2009 05:50:00.000 GMT-0700,1.32580,1.32655,1.32570,1.32605,1940.5
01.05.2009 05:55:00.000 GMT-0700,1.32610,1.32640,1.32565,1.32610,896.3000000000002
01.05.2009 06:00:00.000 GMT-0700,1.32605,1.32625,1.32480,1.32530,1788.7
01.05.2009 06:05:00.000 GMT-0700,1.32530,1.32560,1.32480,1.32525,2306
01.05.2009 06:10:00.000 GMT-0700,1.32525,1.32535,1.32440,1.32440,1342.7
01.05.2009 06:15:00.000 GMT-0700,1.32440,1.32530,1.32390,1.32525,1803.6
01.05.2009 06:20:00.000 GMT-0700,1.32525,1.32670,1.32520,1.32650,3371.6
01.05.2009 06:25:00.000 GMT-0700,1.32650,1.32660,1.32580,1.32625,1132
01.05.2009 06:30:00.000 GMT-0700,1.32625,1.32660,1.32520,1.32520,1515.6000000000001
01.05.2009 06:35:00.000 GMT-0700,1.32515,1.32630,1.32500,1.32595,2159.2
01.05.2009 06:40:00.000 GMT-0700,1.32595,1.32670,1.32565,1.32630,1737.9
01.05.2009 06:45:00.000 GMT-0700,1.32625,1.32635,1.32530,1.32530,1694.5
01.05.2009 06:50:00.000 GMT-0700,1.32540,1.32735,1.32540,1.32710,1964.4
