Local time,Open,High,Low,Close,Volume
01.11.2009 14:00:00.000 GMT-0800,1.47151,1.47174,1.47146,1.47151,26.1
01.11.2009 14:01:00.000 GMT-0800,1.47159,1.47180,1.47141,1.47147,24.1
01.11.2009 14:02:00.000 GMT-0800,1.47143,1.47172,1.47141,1.47168,31
01.11.2009 14:03:00.000 GMT-0800,1.47168,1.47169,1.47140,1.47140,27.2
01.11.2009 14:04:00.000 GMT-0800,1.47142,1.47145,1.47124,1.47134,33.4
01.11.2009 14:05:00.000 GMT-0800,1.47146,1.47163,1.47139,1.47143,16.3
01.11.2009 14:06:00.000 GMT-0800,1.47162,1.47210,1.47162,1.47169,26.8
01.11.2009 14:07:00.000 GMT-0800,1.47157,1.47182,1.47151,1.47166,35.1
01.11.2009 14:08:00.000 GMT-0800,1.47145,1.47172,1.47135,1.47157,60.8
01.11.2009 14:09:00.000 GMT-0800,1.47136,1.47155,1.47123,1.47149,26
01.11.2009 14:10:00.000 GMT-0800,1.47132,1.47150,1.47118,1.47119,26.8
01.11.2009 14:11:00.000 GMT-0800,1.47134,1.47141,1.47113,1.47114,25.4
01.11.2009 14:12:00.000 GMT-0800,1.47105,1.47123,1.47097,1.47105,20.8
01.11.2009 14:13:00.000 GMT-0800,1.47112,1.47113,1.47085,1.47111,20.1
01.11.2009 14:14:00.000 GMT-0800,1.47086,1.47095,1.47081,1.47089,12.1
01.11.2009 14:15:00.000 GMT-0800,1.47080,1.47092,1.47056,1.47068,41.6
01.11.2009 14:16:00.000 GMT-0800,1.47064,1.47073,1.47047,1.47047,37.1
01.11.2009 14:17:00.000 GMT-0800,1.47051,1.47056,1.47025,1.47031,22.2
01.11.2009 14:18:00.000 GMT-0800,1.47029,1.47081,1.47029,1.47050,22.3
01.11.2009 14:19:00.000 GMT-0800,1.47038,1.47064,1.47031,1.47049,23
01.11.2009 14:20:00.000 GMT-0800,1.47032,1.47043,1.47012,1.47039,19.5
01.11.2009 14:21:00.000 GMT-0800,1.47033,1.47075,1.47028,1.47042,40.1
01.11.2009 14:22:00.000 GMT-0800,1.47058,1.47058,1.47020,1.47030,21.1
01.11.2009 14:23:00.000 GMT-0800,1.47022,1.47041,1.47010,1.47017,20.3
01.11.2009 14:24:00.000 GMT-0800,1.46996,1.47020,1.46991,1.47020,22.9
01.11.2009 14:25:00.000 GMT-0800,1.47026,1.47035,1.47011,1.47011,18.2
01.11.2009 14:26:00.000 GMT-0800,1.47018,1.47022,1.46996,1.47014,23.9
01.11.2009 14:27:00.000 GMT-0800,1.47010,1.47018,1.46987,1.46993,19.3
01.11.2009 14:28:00.000 GMT-0800,1.47005,1.47015,1.46988,1.47011,15.9
01.11.2009 14:29:00.000 GMT-0800,1.47007,1.47007,1.46947,1.46973,27.2
01.11.2009 14:30:00.000 GMT-0800,1.46972,1.46989,1.46939,1.46950,13.4
01.11.2009 14:31:00.000 GMT-0800,1.46948,1.46948,1.46904,1.46913,28.9
01.11.2009 14:32:00.000 GMT-0800,1.46907,1.46931,1.46894,1.46918,21
01.11.2009 14:33:00.000 GMT-0800,1.46919,1.46930,1.46899,1.46921,25.1
01.11.2009 14:34:00.000 GMT-0800,1.46907,1.46974,1.46906,1.46951,33.3
01.11.2009 14:35:00.000 GMT-0800,1.46958,1.46960,1.46916,1.46916,15.9
01.11.2009 14:36:00.000 GMT-0800,1.46916,1.46934,1.46911,1.46930,20.8
01.11.2009 14:37:00.000 GMT-0800,1.46928,1.46947,1.46910,1.46910,26.7
01.11.2009 14:38:00.000 GMT-0800,1.46905,1.46917,1.46892,1.46917,19.3
01.11.2009 14:39:00.000 GMT-0800,1.46906,1.46925,1.46894,1.46896,24.3
01.11.2009 14:40:00.000 GMT-0800,1.46892,1.46894,1.46865,1.46865,16.2
01.11.2009 14:41:00.000 GMT-0800,1.46849,1.46884,1.46849,1.46864,19.5
01.11.2009 14:42:00.000 GMT-0800,1.46873,1.46880,1.46846,1.46854,21.8
01.11.2009 14:43:00.000 GMT-0800,1.46864,1.46875,1.46837,1.46847,17.7
01.11.2009 14:44:00.000 GMT-0800,1.46844,1.46864,1.46830,1.46857,19
01.11.2009 14:45:00.000 GMT-0800,1.46842,1.46877,1.46836,1.46876,27.7
01.11.2009 14:46:00.000 GMT-0800,1.46879,1.46885,1.46849,1.46864,32.5
01.11.2009 14:47:00.000 GMT-0800,1.46866,1.46872,1.46850,1.46850,31.7
01.11.2009 14:48:00.000 GMT-0800,1.46828,1.46844,1.46814,1.46823,24.6
01.11.2009 14:49:00.000 GMT-0800,1.46839,1.46862,1.46831,1.46838,25.1
01.11.2009 14:50:00.000 GMT-0800,1.46852,1.46858,1.46829,1.46848,20.8
01.11.2009 14:51:00.000 GMT-0800,1.46850,1.46893,1.46847,1.46887,25.2
01.11.2009 14:52:00.000 GMT-0800,1.46885,1.47100,1.46874,1.47100,14.1
01.11.2009 14:53:00.000 GMT-0800,1.47125,1.47235,1.47119,1.47193,27.7
01.11.2009 14:54:00.000 GMT-0800,1.47201,1.47217,1.47164,1.47190,20.9
01.11.2009 14:55:00.000 GMT-0800,1.47203,1.47208,1.47165,1.47195,18.9
01.11.2009 14:56:00.000 GMT-0800,1.47202,1.47212,1.47167,1.47186,26
01.11.2009 14:57:00.000 GMT-0800,1.47171,1.47235,1.47168,1.47226,32.5
01.11.2009 14:58:00.000 GMT-0800,1.47226,1.47265,1.47205,1.47265,22.9
01.11.2009 14:59:00.000 GMT-0800,1.47290,1.47392,1.47272,1.47272,24.1
01.11.2009 15:00:00.000 GMT-0800,1.47321,1.47348,1.47309,1.47319,17.9
01.11.2009 15:01:00.000 GMT-0800,1.47352,1.47406,1.47352,1.47406,11.2
01.11.2009 15:02:00.000 GMT-0800,1.47384,1.47411,1.47346,1.47346,28.7
01.11.2009 15:03:00.000 GMT-0800,1.47355,1.47370,1.47309,1.47337,40.1
01.11.2009 15:04:00.000 GMT-0800,1.47348,1.47360,1.47309,1.47310,13
01.11.2009 15:05:00.000 GMT-0800,1.47339,1.47354,1.47311,1.47354,24.1
01.11.2009 15:06:00.000 GMT-0800,1.47361,1.47364,1.47317,1.47339,19.3
01.11.2009 15:07:00.000 GMT-0800,1.47339,1.47361,1.47316,1.47359,13
01.11.2009 15:08:00.000 GMT-0800,1.47332,1.47401,1.47332,1.47399,27.2
01.11.2009 15:09:00.000 GMT-0800,1.47392,1.47398,1.47366,1.47386,14.5
01.11.2009 15:10:00.000 GMT-0800,1.47380,1.47400,1.47364,1.47389,23.3
01.11.2009 15:11:00.000 GMT-0800,1.47350,1.47367,1.47316,1.47332,25.7
01.11.2009 15:12:00.000 GMT-0800,1.47328,1.47332,1.47294,1.47305,17.6
01.11.2009 15:13:00.000 GMT-0800,1.47314,1.47321,1.47275,1.47295,24.6
01.11.2009 15:14:00.000 GMT-0800,1.47298,1.47298,1.47221,1.47233,38.8
01.11.2009 15:15:00.000 GMT-0800,1.47233,1.47288,1.47221,1.47269,26.9
01.11.2009 15:16:00.000 GMT-0800,1.47304,1.47320,1.47260,1.47309,36.9
01.11.2009 15:17:00.000 GMT-0800,1.47304,1.47315,1.47266,1.47282,30.7
01.11.2009 15:18:00.000 GMT-0800,1.47283,1.47308,1.47263,1.47277,20.5
01.11.2009 15:19:00.000 GMT-0800,1.47246,1.47264,1.47221,1.47253,21.4
01.11.2009 15:20:00.000 GMT-0800,1.47242,1.47253,1.47228,1.47241,22.4
01.11.2009 15:21:00.000 GMT-0800,1.47240,1.47249,1.47225,1.47238,18.1
01.11.2009 15:22:00.000 GMT-0800,1.47225,1.47263,1.47217,1.47255,23.7
01.11.2009 15:23:00.000 GMT-0800,1.47250,1.47263,1.47232,1.47248,116.8
01.11.2009 15:24:00.000 GMT-0800,1.47237,1.47246,1.47219,1.47232,21
01.11.2009 15:25:00.000 GMT-0800,1.47251,1.47270,1.47239,1.47269,17.6
01.11.2009 15:26:00.000 GMT-0800,1.47301,1.47311,1.47258,1.47262,23.6
01.11.2009 15:27:00.000 GMT-0800,1.47256,1.47269,1.47229,1.47249,30
01.11.2009 15:28:00.000 GMT-0800,1.47247,1.47248,1.47209,1.47216,29.8
01.11.2009 15:29:00.000 GMT-0800,1.47213,1.47240,1.47198,1.47219,27.8
01.11.2009 15:30:00.000 GMT-0800,1.47223,1.47223,1.47152,1.47171,33.4
01.11.2009 15:31:00.000 GMT-0800,1.47182,1.47191,1.47114,1.47121,17.7
01.11.2009 15:32:00.000 GMT-0800,1.47146,1.47147,1.47073,1.47079,13.7
01.11.2009 15:33:00.000 GMT-0800,1.47068,1.47093,1.47062,1.47064,63.2
01.11.2009 15:34:00.000 GMT-0800,1.47068,1.47164,1.47063,1.47147,21.4
01.11.2009 15:35:00.000 GMT-0800,1.47130,1.47192,1.47130,1.47170,24.8
01.11.2009 15:36:00.000 GMT-0800,1.47167,1.47181,1.47147,1.47159,14.8
01.11.2009 15:37:00.000 GMT-0800,1.47161,1.47202,1.47156,1.47187,14.7
01.11.2009 15:38:00.000 GMT-0800,1.47186,1.47204,1.47174,1.47196,19.9
01.11.2009 15:39:00.000 GMT-0800,1.47147,1.47190,1.47134,1.47185,36.5
01.11.2009 15:40:00.000 GMT-0800,1.47190,1.47194,1.47131,1.47141,25.9
01.11.2009 15:41:00.000 GMT-0800,1.47162,1.47169,1.47075,1.47081,19.3
01.11.2009 15:42:00.000 GMT-0800,1.47081,1.47111,1.47071,1.47099,24.7
01.11.2009 15:43:00.000 GMT-0800,1.47101,1.47105,1.47063,1.47082,34.9
01.11.2009 15:44:00.000 GMT-0800,1.47092,1.47099,1.47063,1.47077,22.4
01.11.2009 15:45:00.000 GMT-0800,1.47073,1.47073,1.47058,1.47058,14.7
01.11.2009 15:46:00.000 GMT-0800,1.47033,1.47062,1.47018,1.47033,22.7
01.11.2009 15:47:00.000 GMT-0800,1.47018,1.47044,1.47010,1.47037,25.8
01.11.2009 15:48:00.000 GMT-0800,1.47061,1.47117,1.47052,1.47117,17.8
01.11.2009 15:49:00.000 GMT-0800,1.47110,1.47165,1.47099,1.47159,16.7
01.11.2009 15:50:00.000 GMT-0800,1.47132,1.47156,1.47115,1.47130,26
01.11.2009 15:51:00.000 GMT-0800,1.47137,1.47148,1.47083,1.47094,19.8
01.11.2009 15:52:00.000 GMT-0800,1.47079,1.47106,1.47064,1.47096,26.3
01.11.2009 15:53:00.000 GMT-0800,1.47113,1.47119,1.47074,1.47103,28.5
01.11.2009 15:54:00.000 GMT-0800,1.47094,1.47118,1.47083,1.47118,31.6
01.11.2009 15:55:00.000 GMT-0800,1.47111,1.47138,1.47094,1.47117,29.2
01.11.2009 15:56:00.000 GMT-0800,1.47118,1.47118,1.47065,1.47069,21.6
01.11.2009 15:57:00.000 GMT-0800,1.47082,1.47090,1.47043,1.47061,27
01.11.2009 15:58:00.000 GMT-0800,1.47062,1.47070,1.47045,1.47067,15.8
01.11.2009 15:59:00.000 GMT-0800,1.47062,1.47070,1.47031,1.47035,19.7
01.11.2009 16:00:00.000 GMT-0800,1.47037,1.47053,1.47037,1.47053,35
01.11.2009 16:01:00.000 GMT-0800,1.47070,1.47095,1.47055,1.47067,30.8
01.11.2009 16:02:00.000 GMT-0800,1.47078,1.47120,1.47076,1.47120,39
01.11.2009 16:03:00.000 GMT-0800,1.47110,1.47144,1.47073,1.47137,43.9
01.11.2009 16:04:00.000 GMT-0800,1.47144,1.47156,1.47103,1.47122,34.7
01.11.2009 16:05:00.000 GMT-0800,1.47115,1.47171,1.47104,1.47169,23.6
01.11.2009 16:06:00.000 GMT-0800,1.47140,1.47243,1.47128,1.47237,28.6
01.11.2009 16:07:00.000 GMT-0800,1.47227,1.47227,1.47137,1.47155,20.8
01.11.2009 16:08:00.000 GMT-0800,1.47182,1.47201,1.47159,1.47199,30.6
01.11.2009 16:09:00.000 GMT-0800,1.47185,1.47205,1.47147,1.47191,60.5
01.11.2009 16:10:00.000 GMT-0800,1.47195,1.47218,1.47171,1.47199,56.3
01.11.2009 16:11:00.000 GMT-0800,1.47206,1.47217,1.47146,1.47151,16.7
01.11.2009 16:12:00.000 GMT-0800,1.47171,1.47186,1.47142,1.47163,26
01.11.2009 16:13:00.000 GMT-0800,1.47162,1.47221,1.47152,1.47201,41.3
01.11.2009 16:14:00.000 GMT-0800,1.47178,1.47195,1.47156,1.47173,42.3
01.11.2009 16:15:00.000 GMT-0800,1.47187,1.47205,1.47109,1.47135,76.9
01.11.2009 16:16:00.000 GMT-0800,1.47113,1.47188,1.47103,1.47128,50.5
01.11.2009 16:17:00.000 GMT-0800,1.47128,1.47143,1.47122,1.47137,14.9
01.11.2009 16:18:00.000 GMT-0800,1.47144,1.47153,1.47071,1.47098,29.2
01.11.2009 16:19:00.000 GMT-0800,1.47087,1.47121,1.47062,1.47107,34.7
01.11.2009 16:20:00.000 GMT-0800,1.47137,1.47147,1.47066,1.47121,40.7
01.11.2009 16:21:00.000 GMT-0800,1.47120,1.47159,1.47116,1.47158,22.9
01.11.2009 16:22:00.000 GMT-0800,1.47175,1.47198,1.47147,1.47189,33.5
01.11.2009 16:23:00.000 GMT-0800,1.47179,1.47202,1.47166,1.47178,15.3
01.11.2009 16:24:00.000 GMT-0800,1.47179,1.47198,1.47164,1.47185,16.2
01.11.2009 16:25:00.000 GMT-0800,1.47198,1.47201,1.47128,1.47172,47.6
01.11.2009 16:26:00.000 GMT-0800,1.47140,1.47193,1.47138,1.47186,24.4
01.11.2009 16:27:00.000 GMT-0800,1.47179,1.47207,1.47171,1.47184,19.1
01.11.2009 16:28:00.000 GMT-0800,1.47184,1.47207,1.47173,1.47180,32.4
01.11.2009 16:29:00.000 GMT-0800,1.47168,1.47193,1.47135,1.47151,37
01.11.2009 16:30:00.000 GMT-0800,1.47178,1.47197,1.47150,1.47197,29.3
01.11.2009 16:31:00.000 GMT-0800,1.47200,1.47222,1.47143,1.47182,39.1
01.11.2009 16:32:00.000 GMT-0800,1.47192,1.47198,1.47153,1.47179,47.6
01.11.2009 16:33:00.000 GMT-0800,1.47178,1.47205,1.47148,1.47202,32.5
01.11.2009 16:34:00.000 GMT-0800,1.47207,1.47225,1.47147,1.47185,40.5
01.11.2009 16:35:00.000 GMT-0800,1.47208,1.47268,1.47189,1.47255,36.9
01.11.2009 16:36:00.000 GMT-0800,1.47269,1.47296,1.47236,1.47287,17.1
01.11.2009 16:37:00.000 GMT-0800,1.47305,1.47351,1.47295,1.47350,34.6
01.11.2009 16:38:00.000 GMT-0800,1.47368,1.47387,1.47338,1.47387,23.3
01.11.2009 16:39:00.000 GMT-0800,1.47391,1.47393,1.47330,1.47365,29.9
01.11.2009 16:40:00.000 GMT-0800,1.47362,1.47368,1.47327,1.47337,13.2
01.11.2009 16:41:00.000 GMT-0800,1.47353,1.47395,1.47342,1.47373,44.3
01.11.2009 16:42:00.000 GMT-0800,1.47360,1.47364,1.47326,1.47347,20.2
01.11.2009 16:43:00.000 GMT-0800,1.47314,1.47348,1.47307,1.47347,26.4
01.11.2009 16:44:00.000 GMT-0800,1.47343,1.47363,1.47305,1.47325,51
01.11.2009 16:45:00.000 GMT-0800,1.47326,1.47395,1.47319,1.47377,17.5
01.11.2009 16:46:00.000 GMT-0800,1.47362,1.47386,1.47336,1.47336,21
01.11.2009 16:47:00.000 GMT-0800,1.47340,1.47358,1.47319,1.47342,29.9
01.11.2009 16:48:00.000 GMT-0800,1.47354,1.47362,1.47310,1.47343,15.3
01.11.2009 16:49:00.000 GMT-0800,1.47347,1.47362,1.47327,1.47336,35.4
01.11.2009 16:50:00.000 GMT-0800,1.47325,1.47372,1.47325,1.47355,65.3
01.11.2009 16:51:00.000 GMT-0800,1.47351,1.47383,1.47338,1.47383,18.2
01.11.2009 16:52:00.000 GMT-0800,1.47360,1.47389,1.47336,1.47355,42.8
01.11.2009 16:53:00.000 GMT-0800,1.47342,1.47375,1.47331,1.47361,107.2
01.11.2009 16:54:00.000 GMT-0800,1.47358,1.47423,1.47332,1.47423,125.6
01.11.2009 16:55:00.000 GMT-0800,1.47411,1.47411,1.47321,1.47327,36.4
01.11.2009 16:56:00.000 GMT-0800,1.47324,1.47351,1.47297,1.47314,43.5
01.11.2009 16:57:00.000 GMT-0800,1.47324,1.47328,1.47275,1.47300,35.2
