Local time,Open,High,Low,Close,Volume
01.01.2007 00:00:00.000 GMT-0800,1.31916,1.31933,1.31682,1.31696,10234.6
01.01.2007 00:15:00.000 GMT-0800,1.31708,1.31713,1.31671,1.31693,9862.7
01.01.2007 00:30:00.000 GMT-0800,1.31702,1.31710,1.31666,1.31691,10918.399999999998
01.01.2007 00:45:00.000 GMT-0800,1.31701,1.31703,1.31667,1.31681,10454.200000000003
01.01.2007 01:00:00.000 GMT-0800,1.31690,1.31703,1.31668,1.31700,10404.599999999999
01.01.2007 01:15:00.000 GMT-0800,1.31703,1.31704,1.31670,1.31683,10474.5
01.01.2007 01:30:00.000 GMT-0800,1.31700,1.31706,1.31660,1.31699,11958.699999999999
01.01.2007 01:45:00.000 GMT-0800,1.31695,1.31704,1.31672,1.31691,11222.300000000001
01.01.2007 02:00:00.000 GMT-0800,1.31697,1.31703,1.31665,1.31703,10929
01.01.2007 02:15:00.000 GMT-0800,1.31673,1.31706,1.31655,1.31698,10313.200000000003
01.01.2007 02:30:00.000 GMT-0800,1.31687,1.31704,1.31670,1.31691,11159.300000000001
01.01.2007 02:45:00.000 GMT-0800,1.31697,1.31703,1.31669,1.31688,10595.300000000001
01.01.2007 03:00:00.000 GMT-0800,1.31689,1.31705,1.31650,1.31693,11665.8
01.01.2007 03:15:00.000 GMT-0800,1.31695,1.31703,1.31663,1.31679,10761.099999999999
01.01.2007 03:30:00.000 GMT-0800,1.31685,1.31705,1.31657,1.31697,12076.5
01.01.2007 03:45:00.000 GMT-0800,1.31689,1.31704,1.31673,1.31682,9089.300000000001
01.01.2007 04:00:00.000 GMT-0800,1.31697,1.31706,1.31666,1.31670,11267.9
01.01.2007 04:15:00.000 GMT-0800,1.31693,1.31702,1.31663,1.31698,11496
01.01.2007 04:30:00.000 GMT-0800,1.31687,1.31705,1.31665,1.31687,10902.099999999999
01.01.2007 04:45:00.000 GMT-0800,1.31694,1.31706,1.31657,1.31676,12637.1
01.01.2007 05:00:00.000 GMT-0800,1.31674,1.31706,1.31667,1.31689,9567.9
01.01.2007 05:15:00.000 GMT-0800,1.31695,1.31703,1.31673,1.31683,11515.900000000001
01.01.2007 05:30:00.000 GMT-0800,1.31690,1.31705,1.31667,1.31700,10813.100000000002
01.01.2007 05:45:00.000 GMT-0800,1.31690,1.31705,1.31661,1.31694,9760.9
01.01.2007 06:00:00.000 GMT-0800,1.31685,1.31703,1.31666,1.31701,11899.3
01.01.2007 06:15:00.000 GMT-0800,1.31692,1.31943,1.31667,1.31929,10494.1
01.01.2007 06:30:00.000 GMT-0800,1.31922,1.31933,1.31904,1.31920,11870
01.01.2007 06:45:00.000 GMT-0800,1.31924,1.31934,1.31900,1.31912,10926.1
01.01.2007 07:00:00.000 GMT-0800,1.31933,1.31935,1.31897,1.31918,10970.8
01.01.2007 07:15:00.000 GMT-0800,1.31915,1.31930,1.31895,1.31916,11938.8
01.01.2007 07:30:00.000 GMT-0800,1.31908,1.31934,1.31897,1.31910,12165.2
01.01.2007 07:45:00.000 GMT-0800,1.31927,1.31935,1.31893,1.31931,11735.800000000003
01.01.2007 08:00:00.000 GMT-0800,1.31916,1.31935,1.31895,1.31925,156868.50069999998
01.01.2007 08:15:00.000 GMT-0800,1.31924,1.31949,1.31892,1.31912,127566.6982
01.01.2007 08:30:00.000 GMT-0800,1.31916,1.31945,1.31887,1.31920,89212.6006
01.01.2007 08:45:00.000 GMT-0800,1.31921,1.31933,1.31885,1.31903,69908.60059999999
01.01.2007 09:00:00.000 GMT-0800,1.31892,1.31925,1.31890,1.31916,55199.3008
01.01.2007 09:15:00.000 GMT-0800,1.31924,1.31937,1.31897,1.31923,49583.7997
01.01.2007 09:30:00.000 GMT-0800,1.31918,1.31974,1.31904,1.31956,52046.10020000001
01.01.2007 09:45:00.000 GMT-0800,1.31976,1.32095,1.31901,1.31963,45406.5003
01.01.2007 10:00:00.000 GMT-0800,1.31940,1.31974,1.31892,1.31940,34908.8995
